latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
15.111445,104.874222,344.5,0.4,0.37,2019-04-01,0609,N,VIIRS,n,1,303.31,7.07,D,0
15.112094,104.873703,342.92,0.4,0.37,2019-04-01,0609,N,VIIRS,l,1,303.27,7.07,D,0
14.302592,100.155731,338.21,0.47,0.48,2019-04-01,0609,N,VIIRS,n,1,295.5,4.03,D,0
14.997318,104.101593,339.59,0.42,0.38,2019-04-01,0609,N,VIIRS,l,1,302.24,5.73,D,0
14.306952,100.154907,333.17,0.47,0.48,2019-04-01,0609,N,VIIRS,n,1,296.81,4.03,D,0
14.306148,100.150574,332.47,0.47,0.48,2019-04-01,0609,N,VIIRS,n,1,295.02,4.03,D,0
14.265986,99.934464,341.25,0.49,0.48,2019-04-01,0609,N,VIIRS,n,1,294.63,7.71,D,0
14.915656,103.5867,336.7,0.45,0.39,2019-04-01,0609,N,VIIRS,l,1,299.96,6.3,D,0
14.919194,103.58609,340.13,0.45,0.39,2019-04-01,0609,N,VIIRS,l,1,300.32,6.3,D,0
14.282311,99.973045,338.91,0.48,0.48,2019-04-01,0609,N,VIIRS,n,1,297.67,3,D,0
14.310396,100.10022,343.36,0.47,0.48,2019-04-01,0609,N,VIIRS,n,1,295.89,9.25,D,0
14.296589,100.025497,340.33,0.48,0.48,2019-04-01,0609,N,VIIRS,n,1,295.59,13.62,D,0
14.295771,100.021072,332.07,0.48,0.48,2019-04-01,0609,N,VIIRS,n,1,294.79,27.55,D,0
14.286725,99.972206,342.82,0.48,0.48,2019-04-01,0609,N,VIIRS,n,1,297.95,5.95,D,0
14.300986,100.024666,336.78,0.48,0.48,2019-04-01,0609,N,VIIRS,n,1,294.43,13.62,D,0
14.300169,100.020241,353.48,0.48,0.48,2019-04-01,0609,N,VIIRS,n,1,300.08,27.55,D,0
14.367819,100.36409,332.63,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,291.51,10.47,D,0
