latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
5.87614,114.29699,332.8,0.49,0.41,2020-03-04,05:24,N,nominal,1.0NRT,289.2,5.2,D
7.44121,124.72758,331.3,0.53,0.5,2020-03-04,05:24,N,nominal,1.0NRT,299.1,7.2,D
7.4465,124.69755,342.9,0.53,0.5,2020-03-04,05:24,N,nominal,1.0NRT,298.6,32.1,D
7.44586,124.69289,332.8,0.53,0.5,2020-03-04,05:24,N,nominal,1.0NRT,299.2,21,D
7.41006,124.36947,348.9,0.5,0.49,2020-03-04,05:24,N,nominal,1.0NRT,298.2,9.9,D
7.54986,125.33804,334.6,0.59,0.52,2020-03-04,05:24,N,nominal,1.0NRT,287.9,7.6,D
7.64014,125.91746,331,0.32,0.55,2020-03-04,05:24,N,nominal,1.0NRT,292.4,1.7,D
7.47241,124.61369,339.9,0.52,0.5,2020-03-04,05:24,N,nominal,1.0NRT,299.8,8.3,D
7.47183,124.61555,343.5,0.52,0.5,2020-03-04,05:24,N,nominal,1.0NRT,300.9,4.6,D
7.5966,124.68054,338.9,0.53,0.5,2020-03-04,05:24,N,nominal,1.0NRT,300.4,3.7,D
7.26469,122.1724,333.9,0.54,0.42,2020-03-04,05:24,N,nominal,1.0NRT,299.3,6.2,D
7.80425,125.89784,352.7,0.32,0.55,2020-03-04,05:24,N,nominal,1.0NRT,293,3.8,D
7.7076,125.14625,332.1,0.57,0.52,2020-03-04,05:24,N,nominal,1.0NRT,297.8,4.6,D
7.68642,124.81657,340.5,0.54,0.51,2020-03-04,05:24,N,nominal,1.0NRT,300,4.9,D
7.71009,124.95246,335.3,0.55,0.51,2020-03-04,05:24,N,nominal,1.0NRT,298.7,3.6,D
7.35106,122.07661,337.2,0.54,0.42,2020-03-04,05:24,N,nominal,1.0NRT,298.3,16.7,D
7.74216,124.86044,346.4,0.55,0.51,2020-03-04,05:24,N,nominal,1.0NRT,299.4,10.8,D
7.74609,124.8185,337.2,0.54,0.51,2020-03-04,05:24,N,nominal,1.0NRT,299.6,7.5,D
7.8272,125.20201,334.2,0.58,0.52,2020-03-04,05:24,N,nominal,1.0NRT,294.8,2.7,D
7.82598,125.08571,339.5,0.57,0.52,2020-03-04,05:24,N,nominal,1.0NRT,296.8,6.8,D
7.87006,125.3707,332.2,0.59,0.53,2020-03-04,05:24,N,nominal,1.0NRT,294,5.8,D
7.72961,123.94479,345.7,0.47,0.48,2020-03-04,05:24,N,nominal,1.0NRT,295.5,4.8,D
7.74628,123.87007,343.1,0.47,0.48,2020-03-04,05:24,N,nominal,1.0NRT,298.7,10.5,D
7.75064,123.86917,335.6,0.47,0.48,2020-03-04,05:24,N,nominal,1.0NRT,297.7,4.4,D
7.56791,122.33967,343.1,0.56,0.43,2020-03-04,05:24,N,nominal,1.0NRT,298.2,9.3,D
7.58112,122.37508,338.7,0.56,0.43,2020-03-04,05:24,N,nominal,1.0NRT,301.4,8.3,D
7.85319,124.09704,333.5,0.49,0.48,2020-03-04,05:24,N,nominal,1.0NRT,298.1,4.6,D
7.71195,122.23643,344,0.56,0.43,2020-03-04,05:24,N,nominal,1.0NRT,304.9,45.5,D
7.71584,122.23551,340.7,0.56,0.43,2020-03-04,05:24,N,nominal,1.0NRT,297.3,45.5,D
8.15591,125.22717,340.2,0.59,0.53,2020-03-04,05:24,N,nominal,1.0NRT,293.4,3.4,D
7.75106,122.20061,339.8,0.55,0.43,2020-03-04,05:24,N,nominal,1.0NRT,298.7,5.2,D
7.76245,122.25207,339.3,0.56,0.43,2020-03-04,05:24,N,nominal,1.0NRT,297.9,11.2,D
7.87633,122.96022,335.3,0.41,0.45,2020-03-04,05:24,N,nominal,1.0NRT,297.3,4.5,D
7.77071,122.19762,334,0.55,0.43,2020-03-04,05:24,N,nominal,1.0NRT,299.7,4.1,D
7.94032,123.34793,350.4,0.44,0.46,2020-03-04,05:24,N,nominal,1.0NRT,298.5,6.9,D
7.78707,122.25511,341.6,0.56,0.43,2020-03-04,05:24,N,nominal,1.0NRT,298.4,7.9,D
7.79102,122.25459,334.6,0.56,0.43,2020-03-04,05:24,N,nominal,1.0NRT,296.9,7.9,D
7.93959,123.34816,345.7,0.44,0.46,2020-03-04,05:24,N,nominal,1.0NRT,299,7.6,D
7.78976,122.25197,334.8,0.56,0.43,2020-03-04,05:24,N,nominal,1.0NRT,299.2,8,D
7.85702,122.473,334.8,0.38,0.43,2020-03-04,05:24,N,nominal,1.0NRT,299,1.6,D
7.86103,122.47241,334.8,0.38,0.43,2020-03-04,05:24,N,nominal,1.0NRT,299.1,2.7,D
7.82658,122.19888,330.4,0.55,0.43,2020-03-04,05:24,N,nominal,1.0NRT,296.6,3.8,D
7.82991,122.19398,330.5,0.55,0.43,2020-03-04,05:24,N,nominal,1.0NRT,296.5,2.5,D
8.29006,125.13541,337,0.58,0.52,2020-03-04,05:24,N,nominal,1.0NRT,298.6,7.1,D
7.92872,122.48778,336.6,0.39,0.44,2020-03-04,05:24,N,nominal,1.0NRT,299.5,23.1,D
7.92822,122.48431,341.8,0.39,0.44,2020-03-04,05:24,N,nominal,1.0NRT,301.3,31.7,D
7.93275,122.48724,355.2,0.39,0.44,2020-03-04,05:24,N,nominal,1.0NRT,305.7,23.1,D
7.92927,122.48647,344.1,0.39,0.44,2020-03-04,05:24,N,nominal,1.0NRT,304.5,28.1,D
7.9288,122.48301,333.1,0.39,0.44,2020-03-04,05:24,N,nominal,1.0NRT,300.6,12.6,D
8.28853,125.13773,343.5,0.58,0.52,2020-03-04,05:24,N,nominal,1.0NRT,298.5,8.8,D
